1. symbol,2. name,3. fcas rating,4. fcas score,5. developer score,6. market maturity score,7. utility score,8. last refreshed,9. timezone
IOTX,IoTeX,Basic,739,852,840,579,2021-04-26 00:00:00,UTC
ITC,IoT Chain,Fragile,171,196,721,33,2021-04-26 00:00:00,UTC
IXT,IXT,Fragile,130,275,247,46,2021-04-26 00:00:00,UTC
J8T,JET8,Fragile,118,300,169,31,2021-04-26 00:00:00,UTC
JNT,Jibrel Network,Fragile,211,364,203,22,2021-04-26 00:00:00,UTC
KCS,KuCoin Shares,Fragile,162,450,833,8,2021-04-26 00:00:00,UTC
KIN,Kin,Basic,662,571,790,752,2021-04-26 00:00:00,UTC
KMD,Komodo,Attractive,765,898,836,587,2021-04-26 00:00:00,UTC
KNC,Kyber Network,Attractive,821,784,857,859,2021-04-26 00:00:00,UTC
LBC,LBRY Credits,Attractive,816,938,782,664,2021-04-26 00:00:00,UTC
LEND,ETHLend,Basic,704,847,576,552,2021-04-26 00:00:00,UTC
LINK,Chainlink,Superb,928,911,885,958,2021-04-26 00:00:00,UTC
LKK,Lykke,Fragile,449,619,259,275,2021-04-26 00:00:00,UTC
LOOM,Loom Network,Basic,656,729,838,531,2021-04-26 00:00:00,UTC
LRC,Loopring,Attractive,788,771,852,796,2021-04-26 00:00:00,UTC
LSK,Lisk,Basic,734,840,813,587,2021-04-26 00:00:00,UTC
LTC,Litecoin,Attractive,783,667,893,907,2021-04-26 00:00:00,UTC
LUN,Lunyr,Fragile,132,150,444,48,2021-04-26 00:00:00,UTC
MAID,MaidSafeCoin,Caution,596,912,741,175,2021-04-26 00:00:00,UTC
MANA,Decentraland,Superb,925,929,907,924,2021-04-26 00:00:00,UTC
MCO,Crypto.com,Fragile,370,450,756,531,2021-04-26 00:00:00,UTC
MDA,Moeda Loyalty Points,Fragile,161,300,720,29,2021-04-26 00:00:00,UTC
MGO,MobileGo,Fragile,162,200,733,29,2021-04-26 00:00:00,UTC
MITH,Mithril,Fragile,459,570,895,236,2021-04-26 00:00:00,UTC
MKR,Maker,Attractive,896,899,809,910,2021-04-26 00:00:00,UTC
MLN,Melon,Caution,558,510,805,570,2021-04-26 00:00:00,UTC
MONA,MonaCoin,Fragile,476,493,769,400,2021-04-26 00:00:00,UTC
MTH,Monetha,Fragile,290,390,699,87,2021-04-26 00:00:00,UTC
MTN,Medicalchain,Fragile,149,275,509,40,2021-04-26 00:00:00,UTC
MUE,MonetaryUnit,Fragile,331,229,451,436,2021-04-26 00:00:00,UTC
MYST,Mysterium,Caution,505,882,510,36,2021-04-26 00:00:00,UTC
NANO,Nano,Basic,652,780,810,462,2021-04-26 00:00:00,UTC
NAS,Nebulas,Fragile,181,475,773,67,2021-04-26 00:00:00,UTC
NAV,NavCoin,Caution,578,610,733,508,2021-04-26 00:00:00,UTC
NEBL,Neblio,Caution,557,637,724,425,2021-04-26 00:00:00,UTC
NEO,NEO,Attractive,874,873,907,870,2021-04-26 00:00:00,UTC
NET,NEXT,Fragile,144,325,548,22,2021-04-26 00:00:00,UTC
NLC2,NoLimitCoin,Fragile,253,226,385,262,2021-04-26 00:00:00,UTC
NLG,Gulden,Fragile,434,538,590,275,2021-04-26 00:00:00,UTC
NMC,Namecoin,Caution,519,626,521,387,2021-04-26 00:00:00,UTC
NMR,Numeraire,Caution,616,434,761,814,2021-04-26 00:00:00,UTC
NPXS,Pundi X,Caution,565,259,831,894,2021-04-26 00:00:00,UTC
NULS,NULS,Caution,577,521,843,598,2021-04-26 00:00:00,UTC
NVC,Novacoin,Fragile,215,254,54,200,2021-04-26 00:00:00,UTC
NXS,Nexus,Caution,508,604,644,362,2021-04-26 00:00:00,UTC
OAX,OAX,Fragile,181,425,719,77,2021-04-26 00:00:00,UTC
OCN,Odyssey,Fragile,220,155,710,206,2021-04-26 00:00:00,UTC
OMG,OmiseGO,Attractive,825,793,836,864,2021-04-26 00:00:00,UTC
ONION,DeepOnion,Fragile,316,363,426,237,2021-04-26 00:00:00,UTC
ONT,Ontology,Basic,693,601,885,772,2021-04-26 00:00:00,UTC
OPT,Opus,Fragile,113,167,200,31,2021-04-26 00:00:00,UTC
OST,OST,Fragile,385,458,728,227,2021-04-26 00:00:00,UTC
PART,Particl,Fragile,475,627,404,300,2021-04-26 00:00:00,UTC
PASC,Pascal Coin,Fragile,283,271,412,275,2021-04-26 00:00:00,UTC
PAY,TenX,Fragile,282,375,683,330,2021-04-26 00:00:00,UTC
PIVX,PIVX,Caution,591,709,712,422,2021-04-26 00:00:00,UTC
PLBT,Polybius,Fragile,141,275,232,77,2021-04-26 00:00:00,UTC
PLR,Pillar,Fragile,297,165,529,416,2021-04-26 00:00:00,UTC
POE,Po.et,Fragile,229,176,384,266,2021-04-26 00:00:00,UTC
POLY,Polymath,Attractive,787,879,817,668,2021-04-26 00:00:00,UTC
POT,PotCoin,Fragile,247,224,453,237,2021-04-26 00:00:00,UTC
POWR,Power Ledger,Fragile,429,475,797,668,2021-04-26 00:00:00,UTC
PPC,Peercoin,Caution,565,783,544,300,2021-04-26 00:00:00,UTC
PPT,Populous,Caution,530,515,829,492,2021-04-26 00:00:00,UTC
PPY,Peerplays,Fragile,428,665,458,127,2021-04-26 00:00:00,UTC
PRO,Propy,Fragile,255,400,630,276,2021-04-26 00:00:00,UTC
PST,Primas,Fragile,188,300,816,75,2021-04-26 00:00:00,UTC
QASH,QASH,Fragile,253,425,649,268,2021-04-26 00:00:00,UTC
QRL,Quantum Resistant Ledger,Fragile,378,628,596,26,2021-04-26 00:00:00,UTC
QSP,Quantstamp,Fragile,431,287,754,548,2021-04-26 00:00:00,UTC
QTUM,Qtum,Basic,749,730,908,743,2021-04-26 00:00:00,UTC
R,Revain,Fragile,106,154,200,28,2021-04-26 00:00:00,UTC
RCN,Ripio Credit Network,Caution,536,530,723,508,2021-04-26 00:00:00,UTC
RDD,ReddCoin,Caution,555,453,675,665,2021-04-26 00:00:00,UTC
RDN,Raiden Network Token,Basic,684,830,791,483,2021-04-26 00:00:00,UTC
REP,Augur,Attractive,814,798,823,833,2021-04-26 00:00:00,UTC
REQ,Request,Caution,646,675,748,592,2021-04-26 00:00:00,UTC
RHOC,RChain,Fragile,421,762,200,41,2021-04-26 00:00:00,UTC
RISE,Rise,Fragile,247,231,208,275,2021-04-26 00:00:00,UTC
RLC,iExec RLC,Basic,676,708,832,607,2021-04-26 00:00:00,UTC
RUFF,Ruff,Fragile,179,250,823,54,2021-04-26 00:00:00,UTC
SALT,SALT,Fragile,343,164,585,520,2021-04-26 00:00:00,UTC
SAN,Santiment Network Token,Caution,543,720,478,335,2021-04-26 00:00:00,UTC
SBD,Steem Dollars,Caution,524,607,703,387,2021-04-26 00:00:00,UTC
SC,Siacoin,Basic,729,812,927,587,2021-04-26 00:00:00,UTC
SKY,Skycoin,Basic,681,876,697,437,2021-04-26 00:00:00,UTC
SLR,SolarCoin,Fragile,250,226,404,250,2021-04-26 00:00:00,UTC
SLS,SaluS,Fragile,201,137,424,237,2021-04-26 00:00:00,UTC
SMART,SmartCash,Caution,538,660,671,362,2021-04-26 00:00:00,UTC
SNC,SunContract,Fragile,218,250,590,193,2021-04-26 00:00:00,UTC
SNGLS,SingularDTV,Caution,577,943,726,94,2021-04-26 00:00:00,UTC
SNM,SONM,Fragile,394,342,783,384,2021-04-26 00:00:00,UTC
SNT,Status,Attractive,834,934,856,705,2021-04-26 00:00:00,UTC
SOC,All Sports,Fragile,161,166,804,30,2021-04-26 00:00:00,UTC
SOUL,CryptoSoul,Fragile,237,300,300,295,2021-04-26 00:00:00,UTC
SPANK,SpankChain,Fragile,430,414,414,455,2021-04-26 00:00:00,UTC
SRN,SIRIN LABS Token,Fragile,344,200,757,444,2021-04-26 00:00:00,UTC
STEEM,Steem,Basic,712,607,796,828,2021-04-26 00:00:00,UTC
STK,STK,Fragile,152,250,612,28,2021-04-26 00:00:00,UTC
STORJ,Storj,Attractive,847,864,900,816,2021-04-26 00:00:00,UTC
STQ,Storiqa,Fragile,116,275,174,26,2021-04-26 00:00:00,UTC
SUB,Substratum,Fragile,221,272,367,129,2021-04-26 00:00:00,UTC
SWFTC,SwftCoin,Fragile,300,325,782,356,2021-04-26 00:00:00,UTC
SWT,Swarm City,Fragile,169,266,200,43,2021-04-26 00:00:00,UTC
SYS,Syscoin,Caution,624,738,793,450,2021-04-26 00:00:00,UTC
TAU,Lamden,Caution,508,628,452,371,2021-04-26 00:00:00,UTC
THETA,THETA,Caution,550,719,931,267,2021-04-26 00:00:00,UTC
TIME,Chronobank,Fragile,154,250,450,65,2021-04-26 00:00:00,UTC
TIX,Blocktix,Fragile,121,300,237,25,2021-04-26 00:00:00,UTC
TKN,TokenCard,Fragile,247,450,384,304,2021-04-26 00:00:00,UTC
TNB,Time New Bank,Fragile,237,214,767,162,2021-04-26 00:00:00,UTC
TNT,Tierion,Fragile,265,434,433,22,2021-04-26 00:00:00,UTC
RAC,OriginTrail,Basic,698,718,747,664,2021-04-27 00:00:00,UTC
TRST,WeTrust,Fragile,309,359,252,260,2021-04-27 00:00:00,UTC
TRUE,TrueChain,Fragile,455,398,725,475,2021-04-27 00:00:00,UTC
TRX,TRON,Attractive,867,827,905,909,2021-04-27 00:00:00,UTC
TUSD,TrueUSD,Attractive,811,715,941,906,2021-04-27 00:00:00,UTC
UBQ,Ubiq,Fragile,466,601,530,287,2021-04-27 00:00:00,UTC
UKG,Unikoin Gold,Fragile,108,180,77,25,2021-04-27 00:00:00,UTC
UNO,Unobtanium,Fragile,245,232,306,250,2021-04-27 00:00:00,UTC
UP,UpToken,Fragile,125,300,223,37,2021-04-27 00:00:00,UTC
UTK,UTRUST,Fragile,222,450,848,151,2021-04-27 00:00:00,UTC
VEE,BLOCKv,Fragile,334,265,668,355,2021-04-27 00:00:00,UTC
VERI,Veritaseum,Fragile,292,375,362,419,2021-04-27 00:00:00,UTC
VIA,Viacoin,Fragile,408,375,787,375,2021-04-27 00:00:00,UTC
VIB,Viberate,Fragile,293,400,761,342,2021-04-27 00:00:00,UTC
VIBE,VIBE,Fragile,320,275,494,460,2021-04-27 00:00:00,UTC
VTC,Vertcoin,Basic,743,812,749,657,2021-04-27 00:00:00,UTC
WAN,Wanchain,Caution,581,637,832,462,2021-04-27 00:00:00,UTC
WAVES,Waves,Attractive,767,817,854,689,2021-04-27 00:00:00,UTC
WAX,WAX,Caution,568,539,200,679,2021-04-27 00:00:00,UTC
WCT,Waves Community Token,Caution,618,817,275,437,2021-04-27 00:00:00,UTC
WGR,Wagerr,Fragile,482,626,564,287,2021-04-27 00:00:00,UTC
WINGS,Wings,Fragile,328,402,431,217,2021-04-27 00:00:00,UTC
WPR,WePower,Fragile,247,155,769,259,2021-04-27 00:00:00,UTC
WTC,Waltonchain,Fragile,211,450,767,142,2021-04-27 00:00:00,UTC
